unix,date,y
1438214400,07/30/15,0
1438300800,07/31/15,0
1438387200,08/01/15,0
1438473600,08/02/15,0
1438560000,08/03/15,0
1438646400,08/04/15,0
1438732800,08/05/15,0
1438819200,08/06/15,0
1438905600,08/07/15,3
1438992000,08/08/15,1.22
1439078400,08/09/15,0
1439164800,08/10/15,0
1439251200,08/11/15,0.99
1439337600,08/12/15,1.3
1439424000,08/13/15,1.91
1439510400,08/14/15,1.8
1439596800,08/15/15,1.79
1439683200,08/16/15,1.37
1439769600,08/17/15,1.3
1439856000,08/18/15,1.36
1439942400,08/19/15,1.25
1440028800,08/20/15,1.55
1440115200,08/21/15,1.45
1440201600,08/22/15,1.4
1440288000,08/23/15,1.38
1440374400,08/24/15,1.24
1440460800,08/25/15,1.26
1440547200,08/26/15,1.17
1440633600,08/27/15,1.14
1440720000,08/28/15,1.29
1440806400,08/29/15,1.18
1440892800,08/30/15,1.31
1440979200,08/31/15,1.31
1441065600,09/01/15,1.34
1441152000,09/02/15,1.16
1441238400,09/03/15,1.24
1441324800,09/04/15,1.24
1441411200,09/05/15,1.37
1441497600,09/06/15,1.34
1441584000,09/07/15,1.32
1441670400,09/08/15,1.3
1441756800,09/09/15,1.25
1441843200,09/10/15,1.16
1441929600,09/11/15,1.01
1442016000,09/12/15,1.12
1442102400,09/13/15,0.89
1442188800,09/14/15,0.96
1442275200,09/15/15,0.95
1442361600,09/16/15,0.96
1442448000,09/17/15,0.92
1442534400,09/18/15,0.85
1442620800,09/19/15,0.9
1442707200,09/20/15,0.93
1442793600,09/21/15,0.9
1442880000,09/22/15,0.87
1442966400,09/23/15,0.9
1443052800,09/24/15,0.83
1443139200,09/25/15,0.69
1443225600,09/26/15,0.71
1443312000,09/27/15,0.77
1443398400,09/28/15,0.62
1443484800,09/29/15,0.59
1443571200,09/30/15,0.73
1443657600,10/01/15,0.67
1443744000,10/02/15,0.66
1443830400,10/03/15,0.7
1443916800,10/04/15,0.68
1444003200,10/05/15,0.66
1444089600,10/06/15,0.63
1444176000,10/07/15,0.61
1444262400,10/08/15,0.62
1444348800,10/09/15,0.64
1444435200,10/10/15,0.64
1444521600,10/11/15,0.61
1444608000,10/12/15,0.65
1444694400,10/13/15,0.6
1444780800,10/14/15,0.51
1444867200,10/15/15,0.6
1444953600,10/16/15,0.52
1445040000,10/17/15,0.54
1445126400,10/18/15,0.51
1445212800,10/19/15,0.49
1445299200,10/20/15,0.44
1445385600,10/21/15,0.43
1445472000,10/22/15,0.61
1445558400,10/23/15,0.57
1445644800,10/24/15,0.55
1445731200,10/25/15,0.64
1445817600,10/26/15,0.71
1445904000,10/27/15,0.84
1445990400,10/28/15,0.97
1446076800,10/29/15,1.11
1446163200,10/30/15,1.14
1446249600,10/31/15,0.88
1446336000,11/01/15,1.05
1446422400,11/02/15,0.97
1446508800,11/03/15,0.98
1446595200,11/04/15,0.83
1446681600,11/05/15,0.9
1446768000,11/06/15,0.94
1446854400,11/07/15,0.93
1446940800,11/08/15,1
1447027200,11/09/15,1.01
1447113600,11/10/15,0.9
1447200000,11/11/15,0.75
1447286400,11/12/15,0.89
1447372800,11/13/15,0.9
1447459200,11/14/15,0.88
1447545600,11/15/15,0.92
1447632000,11/16/15,0.93
1447718400,11/17/15,1
1447804800,11/18/15,1
1447891200,11/19/15,0.96
1447977600,11/20/15,0.92
1448064000,11/21/15,0.97
1448150400,11/22/15,0.99
1448236800,11/23/15,0.93
1448323200,11/24/15,0.93
1448409600,11/25/15,0.87
1448496000,11/26/15,0.87
1448582400,11/27/15,0.88
1448668800,11/28/15,0.93
1448755200,11/29/15,0.88
1448841600,11/30/15,0.9
1448928000,12/01/15,0.87
1449014400,12/02/15,0.83
1449100800,12/03/15,0.83
1449187200,12/04/15,0.84
1449273600,12/05/15,0.86
1449360000,12/06/15,0.84
1449446400,12/07/15,0.81
1449532800,12/08/15,0.81
1449619200,12/09/15,0.8
1449705600,12/10/15,0.84
1449792000,12/11/15,0.9
1449878400,12/12/15,0.97
1449964800,12/13/15,0.93
1450051200,12/14/15,0.99
1450137600,12/15/15,1
1450224000,12/16/15,0.82
1450310400,12/17/15,0.94
1450396800,12/18/15,0.92
1450483200,12/19/15,0.92
1450569600,12/20/15,1.04
1450656000,12/21/15,0.9
1450742400,12/22/15,0.89
1450828800,12/23/15,0.86
1450915200,12/24/15,0.87
1451001600,12/25/15,0.9
1451088000,12/26/15,0.85
1451174400,12/27/15,0.91
1451260800,12/28/15,0.87
1451347200,12/29/15,0.91
1451433600,12/30/15,0.93
1451520000,12/31/15,0.94
1451606400,01/01/16,0.96
1451692800,01/02/16,0.97
1451779200,01/03/16,0.97
1451865600,01/04/16,0.95
1451952000,01/05/16,0.94
1452038400,01/06/16,0.97
1452124800,01/07/16,0.96
1452211200,01/08/16,1
1452297600,01/09/16,1
1452384000,01/10/16,1.02
1452470400,01/11/16,1.08
1452556800,01/12/16,1.13
1452643200,01/13/16,1.14
1452729600,01/14/16,1.15
1452816000,01/15/16,1.2
1452902400,01/16/16,1.22
1452988800,01/17/16,1.27
1453075200,01/18/16,1.45
1453161600,01/19/16,1.27
1453248000,01/20/16,1.53
1453334400,01/21/16,1.54
1453420800,01/22/16,1.52
1453507200,01/23/16,2.02
1453593600,01/24/16,2.1
1453680000,01/25/16,2.49
1453766400,01/26/16,2.29
1453852800,01/27/16,2.42
1453939200,01/28/16,2.52
1454025600,01/29/16,2.42
1454112000,01/30/16,2.44
1454198400,01/31/16,2.21
1454284800,02/01/16,2.16
1454371200,02/02/16,2.43
1454457600,02/03/16,2.44
1454544000,02/04/16,2.55
1454630400,02/05/16,2.55
1454716800,02/06/16,2.53
1454803200,02/07/16,2.99
1454889600,02/08/16,3.15
1454976000,02/09/16,3.75
1455062400,02/10/16,4.35
1455148800,02/11/16,6.35
1455235200,02/12/16,5.38
1455321600,02/13/16,5.25
1455408000,02/14/16,5.18
1455494400,02/15/16,5.23
1455580800,02/16/16,4.26
1455667200,02/17/16,3.84
1455753600,02/18/16,4.35
1455840000,02/19/16,4.46
1455926400,02/20/16,4.37
1456012800,02/21/16,4.64
1456099200,02/22/16,5.61
1456185600,02/23/16,5.66
1456272000,02/24/16,6.2
1456358400,02/25/16,5.95
1456444800,02/26/16,5.97
1456531200,02/27/16,6.3
1456617600,02/28/16,6.48
1456704000,02/29/16,6.36
1456790400,03/01/16,7.6
1456876800,03/02/16,8.69
1456963200,03/03/16,9.35
1457049600,03/04/16,9.96
1457136000,03/05/16,10.97
1457222400,03/06/16,11.03
1457308800,03/07/16,9.5
1457395200,03/08/16,9.87
1457481600,03/09/16,11.57
1457568000,03/10/16,11.12
1457654400,03/11/16,11.26
1457740800,03/12/16,13.26
1457827200,03/13/16,14.99
1457913600,03/14/16,12.49
1458000000,03/15/16,13.08
1458086400,03/16/16,12.91
1458172800,03/17/16,11.04
1458259200,03/18/16,10.72
1458345600,03/19/16,10.45
1458432000,03/20/16,10.07
1458518400,03/21/16,11.97
1458604800,03/22/16,11.02
1458691200,03/23/16,12.31
1458777600,03/24/16,11.15
1458864000,03/25/16,10.68
1458950400,03/26/16,10.99
1459036800,03/27/16,10.45
1459123200,03/28/16,11.6
1459209600,03/29/16,11.69
1459296000,03/30/16,11.88
1459382400,03/31/16,11.41
1459468800,04/01/16,11.64
1459555200,04/02/16,11.61
1459641600,04/03/16,11.65
1459728000,04/04/16,11.12
1459814400,04/05/16,10.43
1459900800,04/06/16,10.78
1459987200,04/07/16,10.13
1460073600,04/08/16,9.82
1460160000,04/09/16,9.15
1460246400,04/10/16,8.77
1460332800,04/11/16,8.71
1460419200,04/12/16,7.48
1460505600,04/13/16,8.07
1460592000,04/14/16,8.48
1460678400,04/15/16,8.26
1460764800,04/16/16,8.55
1460851200,04/17/16,9.45
1460937600,04/18/16,8.87
1461024000,04/19/16,8.87
1461110400,04/20/16,8.58
1461196800,04/21/16,8.13
1461283200,04/22/16,7.88
1461369600,04/23/16,8.34
1461456000,04/24/16,8.03
1461542400,04/25/16,7.52
1461628800,04/26/16,7.49
1461715200,04/27/16,7.78
1461801600,04/28/16,7.32
1461888000,04/29/16,7.51
1461974400,04/30/16,8.87
1462060800,05/01/16,8.76
1462147200,05/02/16,10.02
1462233600,05/03/16,9.39
1462320000,05/04/16,9.4
1462406400,05/05/16,9.78
1462492800,05/06/16,9.29
1462579200,05/07/16,9.32
1462665600,05/08/16,9.47
1462752000,05/09/16,9.29
1462838400,05/10/16,9.36
1462924800,05/11/16,9.91
1463011200,05/12/16,10.04
1463097600,05/13/16,10.52
1463184000,05/14/16,10.16
1463270400,05/15/16,9.95
1463356800,05/16/16,11.12
1463443200,05/17/16,12.18
1463529600,05/18/16,13.21
1463616000,05/19/16,14.56
1463702400,05/20/16,13.74
1463788800,05/21/16,13.97
1463875200,05/22/16,14.25
1463961600,05/23/16,13.43
1464048000,05/24/16,12.67
1464134400,05/25/16,12.54
1464220800,05/26/16,12.42
1464307200,05/27/16,11.09
1464393600,05/28/16,11.71
1464480000,05/29/16,12.36
1464566400,05/30/16,12.61
1464652800,05/31/16,13.93
1464739200,06/01/16,13.83
1464825600,06/02/16,13.79
1464912000,06/03/16,13.82
1464998400,06/04/16,13.74
1465084800,06/05/16,13.9
1465171200,06/06/16,13.99
1465257600,06/07/16,14.46
1465344000,06/08/16,14.46
1465430400,06/09/16,14.46
1465516800,06/10/16,13.97
1465603200,06/11/16,14.09
1465689600,06/12/16,15.65
1465776000,06/13/16,17.6
1465862400,06/14/16,18.68
1465948800,06/15/16,18.36
1466035200,06/16/16,20.75
1466121600,06/17/16,15.39
1466208000,06/18/16,11.41
1466294400,06/19/16,12.34
1466380800,06/20/16,11.8
1466467200,06/21/16,12.81
1466553600,06/22/16,13.13
1466640000,06/23/16,13.65
1466726400,06/24/16,14.25
1466812800,06/25/16,14.3
1466899200,06/26/16,13.74
1466985600,06/27/16,13.95
1467072000,06/28/16,12.04
1467158400,06/29/16,12.89
1467244800,06/30/16,12.44
1467331200,07/01/16,12.29
1467417600,07/02/16,12.08
1467504000,07/03/16,11.87
1467590400,07/04/16,11.38
1467676800,07/05/16,10.36
1467763200,07/06/16,10.5
1467849600,07/07/16,10.03
1467936000,07/08/16,11.23
1468022400,07/09/16,10.91
1468108800,07/10/16,10.93
1468195200,07/11/16,10.55
1468281600,07/12/16,10.54
1468368000,07/13/16,10.46
1468454400,07/14/16,11.51
1468540800,07/15/16,11.98
1468627200,07/16/16,11.67
1468713600,07/17/16,11.24
1468800000,07/18/16,11.03
1468886400,07/19/16,11.71
1468972800,07/20/16,12.52
1469059200,07/21/16,12.6
1469145600,07/22/16,14.79
1469232000,07/23/16,14.31
1469318400,07/24/16,12.66
1469404800,07/25/16,13.78
1469491200,07/26/16,12.09
1469577600,07/27/16,13.07
1469664000,07/28/16,12.86
1469750400,07/29/16,12.87
1469836800,07/30/16,12.52
1469923200,07/31/16,11.89
1470009600,08/01/16,11.08
1470096000,08/02/16,8.3
1470182400,08/03/16,10.38
1470268800,08/04/16,11.21
1470355200,08/05/16,11.04
1470441600,08/06/16,10.94
1470528000,08/07/16,10.99
1470614400,08/08/16,11.29
1470700800,08/09/16,12.25
1470787200,08/10/16,12.19
1470873600,08/11/16,11.66
1470960000,08/12/16,11.74
1471046400,08/13/16,11.56
1471132800,08/14/16,11.18
1471219200,08/15/16,11.15
1471305600,08/16/16,11.14
1471392000,08/17/16,10.75
1471478400,08/18/16,10.73
1471564800,08/19/16,10.71
1471651200,08/20/16,11.27
1471737600,08/21/16,11.14
1471824000,08/22/16,11.09
1471910400,08/23/16,11
1471996800,08/24/16,11
1472083200,08/25/16,11.36
1472169600,08/26/16,11.26
1472256000,08/27/16,11.19
1472342400,08/28/16,10.97
1472428800,08/29/16,10.95
1472515200,08/30/16,11.23
1472601600,08/31/16,11.59
1472688000,09/01/16,12.21
1472774400,09/02/16,12.09
1472860800,09/03/16,11.91
1472947200,09/04/16,11.72
1473033600,09/05/16,11.8
1473120000,09/06/16,11.72
1473206400,09/07/16,11.6
1473292800,09/08/16,11.41
1473379200,09/09/16,11.7
1473465600,09/10/16,12.08
1473552000,09/11/16,11.65
1473638400,09/12/16,11.93
1473724800,09/13/16,11.98
1473811200,09/14/16,11.93
1473897600,09/15/16,11.99
1473984000,09/16/16,12.64
1474070400,09/17/16,12.82
1474156800,09/18/16,12.33
1474243200,09/19/16,12.92
1474329600,09/20/16,14.62
1474416000,09/21/16,13.73
1474502400,09/22/16,13.13
1474588800,09/23/16,13.35
1474675200,09/24/16,12.9
1474761600,09/25/16,13.05
1474848000,09/26/16,12.93
1474934400,09/27/16,13.08
1475020800,09/28/16,13.3
1475107200,09/29/16,13.14
1475193600,09/30/16,13.26
1475280000,10/01/16,13.23
1475366400,10/02/16,13.22
1475452800,10/03/16,13.45
1475539200,10/04/16,13.31
1475625600,10/05/16,13.09
1475712000,10/06/16,12.86
1475798400,10/07/16,12.68
1475884800,10/08/16,12.25
1475971200,10/09/16,12.05
1476057600,10/10/16,11.74
1476144000,10/11/16,11.76
1476230400,10/12/16,11.74
1476316800,10/13/16,12.03
1476403200,10/14/16,11.9
1476489600,10/15/16,11.97
1476576000,10/16/16,11.94
1476662400,10/17/16,11.98
1476748800,10/18/16,12.52
1476835200,10/19/16,11.98
1476921600,10/20/16,12.06
1477008000,10/21/16,12.07
1477094400,10/22/16,12.1
1477180800,10/23/16,11.98
1477267200,10/24/16,11.94
1477353600,10/25/16,11.37
1477440000,10/26/16,11.5
1477526400,10/27/16,11.47
1477612800,10/28/16,11.11
1477699200,10/29/16,10.38
1477785600,10/30/16,11.24
1477872000,10/31/16,10.93
1477958400,11/01/16,10.77
1478044800,11/02/16,10.83
1478131200,11/03/16,10.86
1478217600,11/04/16,11.15
1478304000,11/05/16,11.13
1478390400,11/06/16,10.96
1478476800,11/07/16,10.9
1478563200,11/08/16,10.87
1478649600,11/09/16,10.66
1478736000,11/10/16,10.52
1478822400,11/11/16,10.29
1478908800,11/12/16,9.98
1478995200,11/13/16,10.12
1479081600,11/14/16,10
1479168000,11/15/16,10.23
1479254400,11/16/16,10.01
1479340800,11/17/16,9.96
1479427200,11/18/16,9.53
1479513600,11/19/16,9.68
1479600000,11/20/16,9.58
1479686400,11/21/16,9.56
1479772800,11/22/16,9.83
1479859200,11/23/16,9.75
1479945600,11/24/16,9.2
1480032000,11/25/16,9.41
1480118400,11/26/16,9.32
1480204800,11/27/16,8.87
1480291200,11/28/16,8.68
1480377600,11/29/16,8.18
1480464000,11/30/16,8.6
1480550400,12/01/16,8.46
1480636800,12/02/16,7.71
1480723200,12/03/16,7.89
1480809600,12/04/16,7.54
1480896000,12/05/16,6.67
1480982400,12/06/16,7.71
1481068800,12/07/16,8.35
1481155200,12/08/16,8.3
1481241600,12/09/16,8.5
1481328000,12/10/16,8.09
1481414400,12/11/16,8.2
1481500800,12/12/16,8.45
1481587200,12/13/16,8.41
1481673600,12/14/16,8.22
1481760000,12/15/16,7.77
1481846400,12/16/16,7.87
1481932800,12/17/16,7.67
1482019200,12/18/16,7.88
1482105600,12/19/16,7.61
1482192000,12/20/16,7.59
1482278400,12/21/16,7.87
1482364800,12/22/16,7.65
1482451200,12/23/16,7.15
1482537600,12/24/16,7.23
1482624000,12/25/16,7.19
1482710400,12/26/16,7.24
1482796800,12/27/16,7.15
1482883200,12/28/16,7.63
1482969600,12/29/16,8.24
1483056000,12/30/16,8.17
1483142400,12/31/16,8.04
1483228800,01/01/17,8.15
1483315200,01/02/17,8.33
1483401600,01/03/17,9.68
1483488000,01/04/17,10.91
1483574400,01/05/17,10.19
1483660800,01/06/17,10.07
1483747200,01/07/17,9.8
1483833600,01/08/17,10.29
1483920000,01/09/17,10.23
1484006400,01/10/17,10.56
1484092800,01/11/17,9.81
1484179200,01/12/17,9.8
1484265600,01/13/17,9.76
1484352000,01/14/17,9.77
1484438400,01/15/17,9.85
1484524800,01/16/17,9.59
1484611200,01/17/17,10.15
1484697600,01/18/17,10.19
1484784000,01/19/17,10.41
1484870400,01/20/17,10.59
1484956800,01/21/17,10.93
1485043200,01/22/17,10.69
1485129600,01/23/17,10.77
1485216000,01/24/17,10.51
1485302400,01/25/17,10.5
1485388800,01/26/17,10.65
1485475200,01/27/17,10.5
1485561600,01/28/17,10.53
1485648000,01/29/17,10.47
1485734400,01/30/17,10.55
1485820800,01/31/17,10.7
1485907200,02/01/17,10.71
1485993600,02/02/17,10.79
1486080000,02/03/17,10.94
1486166400,02/04/17,11.32
1486252800,02/05/17,11.21
1486339200,02/06/17,11.32
1486425600,02/07/17,11.44
1486512000,02/08/17,11.39
1486598400,02/09/17,10.93
1486684800,02/10/17,11.32
1486771200,02/11/17,11.41
1486857600,02/12/17,11.4
1486944000,02/13/17,11.39
1487030400,02/14/17,12.99
1487116800,02/15/17,12.96
1487203200,02/16/17,12.95
1487289600,02/17/17,12.73
1487376000,02/18/17,12.83
1487462400,02/19/17,12.83
1487548800,02/20/17,12.49
1487635200,02/21/17,12.79
1487721600,02/22/17,12.71
1487808000,02/23/17,13.16
1487894400,02/24/17,13.13
1487980800,02/25/17,13.56
1488067200,02/26/17,14.59
1488153600,02/27/17,15.53
1488240000,02/28/17,15.88
1488326400,03/01/17,17.54
1488412800,03/02/17,19.06
1488499200,03/03/17,19.47
1488585600,03/04/17,18.57
1488672000,03/05/17,19.26
1488758400,03/06/17,19.67
1488844800,03/07/17,18.91
1488931200,03/08/17,16.53
1489017600,03/09/17,17.71
1489104000,03/10/17,19.18
1489190400,03/11/17,21.4
1489276800,03/12/17,23.27
1489363200,03/13/17,28.43
1489449600,03/14/17,28.63
1489536000,03/15/17,35.04
1489622400,03/16/17,45.29
1489708800,03/17/17,44.54
1489795200,03/18/17,34.03
1489881600,03/19/17,43.16
1489968000,03/20/17,42.3
1490054400,03/21/17,42.59
1490140800,03/22/17,41.55
1490227200,03/23/17,43.18
1490313600,03/24/17,53.5
1490400000,03/25/17,50.74
1490486400,03/26/17,50.51
1490572800,03/27/17,49
1490659200,03/28/17,50.21
1490745600,03/29/17,52.98
1490832000,03/30/17,51.77
1490918400,03/31/17,49.86
1491004800,04/01/17,50.56
1491091200,04/02/17,48.53
1491177600,04/03/17,44.16
1491264000,04/04/17,44.44
1491350400,04/05/17,45.1
1491436800,04/06/17,43.22
1491523200,04/07/17,42.3
1491609600,04/08/17,44.45
1491696000,04/09/17,43.87
1491782400,04/10/17,43.92
1491868800,04/11/17,43.95
1491955200,04/12/17,46.63
1492041600,04/13/17,50.26
1492128000,04/14/17,47.92
1492214400,04/15/17,49.34
1492300800,04/16/17,48.64
1492387200,04/17/17,48.65
1492473600,04/18/17,49.88
1492560000,04/19/17,47.88
1492646400,04/20/17,49.36
1492732800,04/21/17,48.26
1492819200,04/22/17,48.41
1492905600,04/23/17,48.79
1492992000,04/24/17,49.94
1493078400,04/25/17,50.11
1493164800,04/26/17,53.28
1493251200,04/27/17,63.1
1493337600,04/28/17,72.42
1493424000,04/29/17,69.85
1493510400,04/30/17,79.83
1493596800,05/01/17,77.6
1493683200,05/02/17,77.24
1493769600,05/03/17,80.38
1493856000,05/04/17,94.64
1493942400,05/05/17,90.78
1494028800,05/06/17,94.82
1494115200,05/07/17,90.43
1494201600,05/08/17,88.44
1494288000,05/09/17,86.14
1494374400,05/10/17,87.83
1494460800,05/11/17,88.18
1494547200,05/12/17,85.14
1494633600,05/13/17,87.96
1494720000,05/14/17,88.75
1494806400,05/15/17,90.32
1494892800,05/16/17,87.8
1494979200,05/17/17,86.98
1495065600,05/18/17,95.83
1495152000,05/19/17,124.38
1495238400,05/20/17,122.95
1495324800,05/21/17,148
1495411200,05/22/17,160.4
1495497600,05/23/17,169.49
1495584000,05/24/17,192.18
